,,cost,cost,cost,cost,time,time,time,time,bb_time,heuristic_time,nodes_explored,nodes_explored,nodes_explored,optimal,optimal,heuristic_calls,heuristic_improvements,heuristic_efficiency
,,mean,min,std,count,mean,min,max,std,mean,mean,mean,min,max,sum,count,mean,mean,mean
filename,combination,,,,,,,,,,,,,,,,,,
scp41.txt,best_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp41.txt,best_first_basic,429.0,429.0,,1,0.376,0.376,0.376,,0.047,0.329,1.0,1,1,1,1,3.0,0.0,0.0
scp41.txt,best_first_intermediate,429.0,429.0,,1,21.0118,21.0118,21.0118,,0.034,20.9778,1.0,1,1,1,1,4.0,1.0,0.25
scp41.txt,best_first_none,429.0,429.0,,1,0.034,0.034,0.034,,0.034,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp41.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp41.txt,breadth_first_basic,429.0,429.0,,1,0.326,0.326,0.326,,0.035,0.291,1.0,1,1,1,1,3.0,0.0,0.0
scp41.txt,breadth_first_intermediate,429.0,429.0,,1,22.1306,22.1306,22.1306,,0.043,22.0876,1.0,1,1,1,1,4.0,1.0,0.25
scp41.txt,breadth_first_none,429.0,429.0,,1,0.034,0.034,0.034,,0.034,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp41.txt,depth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp41.txt,depth_first_basic,429.0,429.0,,1,0.343,0.343,0.343,,0.035,0.308,1.0,1,1,1,1,3.0,0.0,0.0
scp41.txt,depth_first_intermediate,429.0,429.0,,1,19.406,19.406,19.406,,0.035,19.371,1.0,1,1,1,1,4.0,1.0,0.25
scp41.txt,depth_first_none,429.0,429.0,,1,0.038,0.038,0.038,,0.038,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp41.txt,hybrid_df_bf_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp41.txt,hybrid_df_bf_basic,429.0,429.0,,1,0.309,0.309,0.309,,0.034,0.275,1.0,1,1,1,1,3.0,0.0,0.0
scp41.txt,hybrid_df_bf_intermediate,429.0,429.0,,1,19.215,19.215,19.215,,0.034,19.181,1.0,1,1,1,1,4.0,1.0,0.25
scp41.txt,hybrid_df_bf_none,429.0,429.0,,1,0.034,0.034,0.034,,0.034,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp41.txt,most_fractional_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp41.txt,most_fractional_basic,429.0,429.0,,1,0.324,0.324,0.324,,0.039,0.285,1.0,1,1,1,1,3.0,0.0,0.0
scp41.txt,most_fractional_intermediate,429.0,429.0,,1,19.048,19.048,19.048,,0.035,19.013,1.0,1,1,1,1,4.0,1.0,0.25
scp41.txt,most_fractional_none,429.0,429.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp410.txt,best_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp410.txt,best_first_basic,514.0,514.0,,1,0.4593,0.4593,0.4593,,0.1822,0.2771,5.0,5,5,1,1,3.0,0.0,0.0
scp410.txt,best_first_intermediate,514.0,514.0,,1,39.5546,39.5546,39.5546,,0.178,39.3766,5.0,5,5,1,1,4.0,1.0,0.25
scp410.txt,best_first_none,514.0,514.0,,1,0.178,0.178,0.178,,0.178,0.0,5.0,5,5,1,1,0.0,0.0,0.0
scp410.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp410.txt,breadth_first_basic,514.0,514.0,,1,0.484,0.484,0.484,,0.182,0.302,5.0,5,5,1,1,3.0,0.0,0.0
