WKT,название,описание
"POINT (15.0950483 47.3878482)",1-1,
"POINT (15.0950698 47.3869547)",1-2,
"POINT (15.0925787 47.3865366)",1-3,
"POINT (15.0931351 47.3874171)",1-4,
"POINT (15.0921112 47.3865325)",2-1,
"POINT (15.0924974 47.3863582)",2-2,
"POINT (15.0920629 47.3859114)",2-3,
"POINT (15.0917518 47.386064)",2-4,
"POINT (15.0927077 47.386347)",3-1,
"POINT (15.0934265 47.386445)",3-2,
"POINT (15.0935392 47.3853191)",3-3,
"POINT (15.0925897 47.3852319)",3-4,
"POINT (15.0935748 47.3864967)",4-1,
"POINT (15.0946262 47.3866528)",4-2,
"POINT (15.093666 47.3861371)",4-3,
"POINT (15.0945994 47.3862461)",4-4,
"POINT (15.0945545 47.3860338)",5-1,
"POINT (15.094415 47.3855689)",5-2,
"POINT (15.0937337 47.3854236)",5-3,
"POINT (15.0938571 47.3858558)",5-4,
